name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.118597e+01;1.068486e+01;-1.539266e+00;8.592357e+00;1.876461e+00;-1.236452e+01;-6.685745e+00;1.315293e+01;-6.909452e+00;-2.046819e+00;-4.522052e+00;3.128048e+00;1.144159e+02;-4.217716e-01;3.837501e-01;2.132675e-01;-2.221069e+00;-1.875152e+00;2.234092e+00;7.904443e-01;-5.015964e+00;-1.711444e+00;-2.536122e+00;-3.172282e+00;-4.364847e+00;-2.066750e-01;-2.292364e-01;-2.626896e-01;2.670688e-01;2.313634e-01;4.438098e-01;-3.750683e-02;6.051478e-01;1.145316e+00;8.904942e-01;9.280422e-02;6.315818e-01;4.549791e-01;6.768967e-02
'unknown';0.010000;-9.681713e+00;1.607982e+01;-4.228527e-01;3.228991e+00;1.847359e+00;-4.483139e+00;-4.291990e+00;-7.823387e-01;-1.377313e+01;6.148130e-01;-1.277917e+01;-7.099784e-01;1.145020e+02;-5.957697e-01;-1.491261e-01;2.717711e-01;-8.830462e-01;-1.648208e+00;1.686268e+00;1.655084e+00;-3.490243e+00;-1.523909e-01;-3.291777e+00;-1.943292e+00;-3.873725e+00;-3.595344e-01;-4.380413e-01;-4.219462e-01;7.516724e-01;1.311735e-01;1.066617e+00;-2.536367e-01;4.282795e-01;2.375001e+00;9.453896e-01;2.110520e-01;1.390905e+00;9.931566e-01;2.919151e-01
'unknown';0.020000;-1.404696e+01;9.906126e+00;-1.031135e+00;1.686941e-01;-7.484748e+00;-5.134749e+00;-3.930402e+00;-4.959256e+00;-1.203483e+01;-1.605824e+01;-1.625490e+01;-1.677717e+01;1.133394e+02;-1.480954e+00;-6.632595e-01;1.519360e+00;-1.733263e+00;2.304252e-01;2.320470e+00;3.383863e+00;-5.224342e-02;1.961501e+00;-1.694273e+00;-6.288677e-01;-2.335512e+00;2.082031e-01;-3.405846e-01;1.794279e-03;1.156113e+00;-1.046872e-01;1.124591e+00;-3.341844e-01;-2.602994e-01;2.147716e+00;4.080451e-03;8.121165e-01;1.768139e+00;1.791286e+00;4.949266e-01
'unknown';0.030000;-1.273433e+01;1.032859e+01;-4.344759e-01;8.388957e+00;-1.683976e+00;-7.548062e+00;2.120029e-01;4.757805e+00;-5.108717e+00;-1.149999e+01;-8.372087e+00;-6.287968e+00;1.131564e+02;-2.082386e+00;-1.202476e+00;3.318584e+00;-1.809104e+00;2.405147e+00;9.227198e-01;1.635132e+00;4.377181e+00;1.179032e+00;-1.901786e+00;2.510534e+00;-4.137316e-01;1.045461e+00;-7.747483e-02;4.766262e-01;1.029745e+00;-3.710089e-01;3.421584e-01;-2.043075e-01;-1.117389e+00;3.589680e-01;-8.232864e-01;8.343536e-01;9.688064e-01;1.684762e+00;4.797724e-01
'unknown';0.040000;-1.706444e+01;1.024418e+01;6.063344e+00;-2.653943e+00;4.794255e+00;7.702904e-01;7.981575e+00;1.012164e+01;-1.434154e+00;-4.460785e+00;-9.869933e+00;-5.760516e+00;1.161297e+02;-1.381386e+00;9.193965e-01;4.470427e+00;-2.281476e+00;1.721127e+00;9.449443e-01;-5.010768e-01;1.788903e+00;-2.356753e+00;8.294653e-01;3.441502e+00;2.861588e+00;1.565460e+00;4.600583e-01;7.496907e-01;-2.282196e-01;6.417079e-02;-1.105392e+00;-9.234747e-01;-2.159654e+00;-1.660387e+00;-6.408119e-01;6.302919e-01;3.412855e-01;8.762066e-01;-4.775393e-03
'unknown';0.050000;-1.858491e+01;9.898419e+00;1.262283e+01;-4.405211e+00;7.733591e+00;-2.822060e+00;-2.072317e+00;1.356312e+01;-1.317831e+01;-1.469285e+01;-3.418988e+00;-8.286964e+00;1.183342e+02;-1.032928e+00;1.442677e+00;3.944961e+00;-2.463984e+00;-6.827668e-01;1.352494e+00;-1.989392e+00;-2.615976e+00;-2.109697e+00;-3.818784e-01;8.655554e-01;1.951535e+00;1.360699e+00;8.966299e-01;5.958812e-01;-1.647124e+00;2.393867e-01;-1.957228e+00;-1.497159e+00;-1.651299e+00;-2.335484e+00;8.954838e-01;8.948120e-01;-2.953833e-01;-1.959898e-01;-3.775827e-01
'unknown';0.060000;-1.802860e+01;1.471820e+01;1.479235e+01;-4.841600e+00;-3.587898e+00;-2.773029e+00;-5.293626e+00;-4.173983e-01;-1.978380e+01;-1.031449e+01;-1.523942e+00;-1.469733e+00;1.185779e+02;2.946075e-01;1.762617e+00;6.507321e-02;-1.084969e+00;-3.752576e+00;-2.511791e+00;-5.602146e+00;-4.857600e+00;4.018055e-01;6.972325e-01;1.900049e+00;8.628885e-01;2.670746e-02;8.112231e-01;-8.927642e-02;-2.003891e+00;4.801338e-01;-9.323031e-01;-1.735976e+00;-5.182050e-01;-9.172891e-01;1.440847e+00;7.219445e-01;-2.966990e-01;-1.410289e+00;-5.423719e-01
'unknown';0.070000;-1.741688e+01;1.530497e+01;1.492583e+01;-2.837135e+00;-9.067333e-01;9.860668e-01;-3.097356e+00;-3.052554e+00;-6.482378e+00;-1.048253e+01;-8.217306e+00;1.324314e+00;1.187358e+02;1.562766e+00;1.355319e+00;-2.714361e+00;-1.210424e+00;-4.644145e+00;-4.834709e+00;-4.070828e+00;-3.976988e+00;4.277172e+00;2.638390e+00;1.804344e+00;-3.943309e-01;-7.307587e-02;5.297884e-01;-2.174086e-01;-1.161186e+00;6.546327e-01;5.218685e-01;-9.169963e-01;5.412254e-01;4.155980e-01;1.496874e-01;5.298743e-01;1.440594e-01;-1.149698e+00;-4.259044e-01
'unknown';0.080000;-1.617541e+01;1.635399e+01;5.237211e+00;-8.862828e+00;-9.648462e+00;-1.369273e+01;-1.951663e+01;-5.858521e+00;-2.773093e+00;-3.079782e+00;2.029472e+00;-6.251713e+00;1.160624e+02;1.376882e+00;5.166931e-01;-2.219367e+00;-5.075868e-01;-9.596995e-01;-4.641334e+00;-2.051384e+00;-2.117036e+00;1.654045e+00;2.929054e+00;1.488613e+00;-3.016926e+00;-4.295120e-01;-2.487122e-02;-2.846389e-01;5.194192e-01;5.469536e-01;1.895875e+00;1.441514e+00;1.724664e+00;1.681145e+00;-9.421412e-01;-5.499964e-01;-5.795311e-01;-1.236941e-01;-1.500790e-01
'unknown';0.090000;-1.169767e+01;1.585712e+01;3.828591e+00;-8.446717e+00;-1.245685e+01;-2.153576e+01;-1.531495e+01;-3.601260e+00;-2.978048e-01;-5.118249e+00;3.826024e+00;-7.867629e+00;1.192265e+02;1.074877e+00;9.785957e-01;-7.187480e-01;5.204883e-01;5.301375e-01;-2.167717e+00;-1.058646e+00;-1.908267e+00;-1.987379e+00;1.151582e+00;1.791570e+00;-1.857049e+00;-5.407135e-01;-4.008060e-01;-4.183470e-01;7.920331e-01;4.584240e-01;1.956196e+00;2.838970e+00;1.679496e+00;2.466532e+00;-9.267985e-01;-8.563819e-01;-8.457824e-01;5.533286e-01;-1.614240e-01
